unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
a0efdc8bdd97a13875ac6fbe2842f6948b9f6cab,f9740f3e224b624ec8477a06817773c454b0e075f94e5c6fa9661c60c99937dc2f141ee35edcceccb10f034959219a46c7f303e025f25947a92f4a03269fd290,2017-11-06 15:15:00.000000 UTC,2017-11-06 15:30:00.000000 UTC,579,4.5,,,,,11.4,0.05,,0.0,11.45,Credit Card,303 Taxi,,,,,,
a83e5558b67e60d76002012283ccc613bd6d141a,5a1f0431f68e535209d79115ec47c1634fa53e14af329914c69ae0c641b7bb4797303056e92a0b59744cd51f9f7c2f944f0e34afb3d0b5e97f6debb965fe79f4,2013-04-23 13:45:00.000000 UTC,2013-04-23 14:00:00.000000 UTC,420,0.9,,,,,6.05,0.0,0.0,2.0,8.05,Cash,,,,,,,
dbe1bdc8793afe76e3598a0873034d6b114089f7,9993904a2f796897a5b465ee4440c2e5cf569afc773e2f103d222c47a7c03cb4f23fd01c1910557bcfd2e4eac1f1e0a0f9f216859ae8f09156c4697291e36dd6,2021-12-06 05:15:00.000000 UTC,2021-12-06 05:30:00.000000 UTC,572,4.32,,,,,13.0,0.0,0.0,4.0,17.0,Cash,Flash Cab,,,,,,
1472ffd4a423cc556fa1e1ea9a61d02734495d54,e5d46d852ebda23f606860eb62604ac0697ce932ff9408fea3dffd8a889b47f34280458790a211f2271e96aed2d3f33f9b5d0387d70ab70184a067530504abb0,2018-02-16 23:30:00.000000 UTC,2018-02-16 23:45:00.000000 UTC,840,3.3,,,,,12.0,0.0,0.0,0.0,12.0,Cash,City Service,,,,,,
0edb23bd446ed7cb10307a019c7a2589a9ba1c87,dd49b3d1ac07f7f5a90da9cfc87d875f75642a20dc62a1f64438e736872423d4228c1ebbb6eee908009971771cfbd240eab22f00c309d9ac13c6288ae9a78f3c,2013-05-01 15:15:00.000000 UTC,2013-05-01 15:15:00.000000 UTC,,0.0,,,,,10.15,3.0,0.0,0.0,13.15,Credit Card,Chicago Elite Cab Corp.,,,,,,
289ca1c1619db2df761a587e80784794c3213a76,bee9782d8d7310bc1b902a8fe547baf0da4c95165bd81fa8562135699154d78cafe9b966c231126dcc9db2ef96ca27cee093190d4162697d8fc0c5a27403afe2,2013-04-01 22:15:00.000000 UTC,2013-04-01 22:15:00.000000 UTC,,0.0,,,,,35.25,7.05,0.0,0.0,42.3,Credit Card,Chicago Elite Cab Corp.,,,,,,
a2a05f20f15e0a7cfb318508c1f94db0176fe8a2,9136e9830a69d5db7e4eb4a53ef300f0fe3c0dd88b4854f9c0af3eaec66371e50f73bf8fca56494dc120b003f501e941d19658b3b9ea217e7129cf7f5aa083cf,2013-05-07 06:15:00.000000 UTC,2013-05-07 06:15:00.000000 UTC,,0.0,,,,,36.65,7.33,0.0,0.0,43.98,Credit Card,Chicago Elite Cab Corp.,,,,,,
71b78d422f722ad3a4cfaffcc9d3ae32bf7e7b4d,139236346ed80e18f2afde3ca0692f7992b9a50377e272104584142e0f648b83b6427c1bee91204e4a7f2c044e908bf1b4911c7ae5b7c97aa83d3bef89164253,2013-08-02 13:30:00.000000 UTC,2013-08-02 14:00:00.000000 UTC,2040,11.4,,,,,26.65,5.5,0.0,1.0,33.15,Credit Card,Dispatch Taxi Affiliation,,,,,,
8d13ad45c1fed7af1755868b45fd100a83d9fdeb,83de099ba2ef07137824fed2955fb4b6865e2a0dc77a380e3980ce38f107535180205cc261f05eb3f0331ff9c3c36b00e2d4335c30fb29e8b0e4fe6941be2ab1,2014-09-26 09:15:00.000000 UTC,2014-09-26 09:15:00.000000 UTC,0,0.0,,,,,27.65,5.53,0.0,0.0,33.18,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
ceeea5522b4650c14c7311d46ad7e2e95f01ed98,f6db72e04ae8ef4d6fd82c21bacd9599a3487e7ba5b829bda6ea839de54142e2ec85d280a49af6305aa413dce1e87b5cc097acf6650b85f16efee35a7b054a7d,2016-12-20 16:00:00.000000 UTC,2016-12-20 16:15:00.000000 UTC,1080,1.8,,,,,10.25,0.0,0.0,1.0,11.25,Cash,Globe Taxi,,,,,,
3c28c60426710d5a91216f9665b63086a226496f,938542c98d7048b93f56fbf167dac62233e96846ad897ff9b89d5d75490a70681c591cc7627b19f4bc9cea577e8928f5ab9b86fdc38f296f65336f45764fbe78,2016-01-19 16:00:00.000000 UTC,2016-01-19 16:15:00.000000 UTC,1004,5.4,,,,,17.0,0.0,,0.0,17.0,Cash,303 Taxi,,,,,,
4caa50550a33190cd0755d6f7858600f0c15a6a1,d95b99518116b5f943d75828e78c02e668ec6add7d28baf8548752f0e6b263d92e916f0af3caf8ce99349f1b1de1045fee29f713f2634b94371781c5c83d4ba8,2022-05-12 12:00:00.000000 UTC,2022-05-12 12:30:00.000000 UTC,1920,18.7,,,,,46.5,9.4,0.0,0.0,55.9,Credit Card,Choice Taxi Association,,,,,,
d6173c72bdf252cf8c9d657fd922f81b6a084c0a,12c12b431a195b67d580683d02126dd06703fc9316e46c40b50eaba38ff5057000287fb4c818d3dbdb7cd977b74a6017690e5c604cc26e89ac01133f54760eeb,2015-06-23 01:45:00.000000 UTC,2015-06-23 01:45:00.000000 UTC,0,0.0,,,,,9.05,2.0,0.0,0.0,11.05,Credit Card,Suburban Dispatch LLC,,,,,,
